Prox,Proy,Pany,Excay,Bispy,Tripy,Paly
472.0929566,5486.599609,3981.399414,4267.700195,2729.501953,6806.000488,7365.600098
472.8441992,5631.199219,4069.5,4315.700195,2682.902344,6832.200195,7363
473.5953354,5575.399414,4070.699219,4352.600586,2765.300781,6828.000488,7370
474.3463653,5503.099609,4011.899414,4357.300781,2753.800781,6819.500488,7385.400146
475.0972889,5638.298828,4093.799805,4359.900391,2737.001953,6798.100586,7351.900146
475.8481063,5510.298828,4099.199219,4342.100586,2797.501953,6805.800293,7359.100098
476.5988175,5565.899414,4152.199219,4330.100586,2856.601563,6778.200195,7359.300049
477.3494224,5594.399414,4114.5,4375.400391,2799.300781,6811.400391,7354.300049
478.0999212,5653.798828,4174.799805,4330.800781,2704.501953,6806.000488,7368
478.8503138,5587.699219,4143.399414,4402.800781,2760.701172,6793.800293,7370.100098
479.6006003,5636.298828,4164.5,4343.400391,2682.300781,6827.500488,7362
480.3507807,5553.899414,4084.899414,4365.700195,2759.402344,6785.300293,7359.400146
481.100855,5633.999023,4068,4362.600586,2796.701172,6803.700195,7357.800049
481.8508233,5587.699219,4095.5,4419.800781,2799.001953,6838.300293,7348.200195
482.6006856,5636.099609,4212.899414,4410.300781,2805.501953,6809.100586,7359.300049
483.3504419,5592.399414,4134.199219,4298.800781,2777.902344,6853.800293,7387.900146
484.1000922,5624.499023,4195.299805,4410.100586,2852.501953,6845.400391,7346.600098
484.8496367,5545.999023,4153.899414,4376.900391,2672.101563,6807.400391,7370.700195
485.5990752,5609.199219,4169.399414,4406.5,2832.601563,6834.800293,7350.700195
486.3484078,5547.699219,4147.899414,4420.900391,2791.501953,6824.300293,7346.600098
487.0976346,5642.499023,4195.699219,4403.900391,2896.701172,6807.900391,7339.900146
487.8467556,5599.399414,4074.699219,4294,2787.300781,6798.500488,7335.900146
488.5957708,5536.599609,4113.299805,4357.200195,2749.601563,6809.900391,7346.100098
489.3446802,5520.499023,4110.699219,4325.800781,2758.800781,6766.100586,7326.700195
490.0934839,5612.899414,4194.599609,4322.400391,2856.402344,6804.600586,7367.200195
490.8421819,5565.099609,4116.399414,4376.300781,2817.501953,6825.100586,7347.300049
491.5907742,5603.199219,4162.899414,4352.900391,2762.300781,6814.400391,7345.300049
492.3392609,5548.699219,4044.099609,4319.700195,2714.701172,6853.200195,7363.700195
493.0876419,5550.499023,4060.899414,4382.5,2762.701172,6777.400391,7340.600098
493.8359174,5520.199219,4089,4298.300781,2796.300781,6790.500488,7338.300049
494.5840872,5561.699219,4091,4334.5,2702.300781,6770.300293,7346.900146
495.3321515,5553.599609,4043.099609,4357.300781,2794.701172,6796.900391,7337.800049
496.0801103,5625.899414,4109,4227.200195,2791.101563,6799.200195,7340.200195
496.8279636,5591.298828,4083.399414,4377.800781,2772.501953,6804.000488,7345.700195
497.5757115,5577.499023,4105,4296.5,2831.701172,6806.200195,7345.400146
498.3233539,5533.399414,4161.899414,4366.600586,2735.601563,6820.300293,7340
499.0708909,5577.899414,4098.399414,4337.100586,2798.300781,6827.600586,7342.300049
499.8183225,5640.899414,4113.299805,4423.5,2798.001953,6796.700195,7346.700195
500.5656488,5564.499023,4182.899414,4444.900391,2872.001953,6846.200195,7327.300049
501.3128698,5542.399414,4121.299805,4385.300781,2855.300781,6829.800293,7338
502.0599854,5520.798828,4176.5,4325.100586,2829.101563,6772.800293,7342.600098
502.8069958,5565.798828,4098.599609,4392.100586,2750.601563,6754.600586,7337.100098
