Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A);Color
Pro.muelleri;11.06576557;0.531297873;38;34.52628473;8.997728643;#a36b2b
Pro.muelleri;10.17731268;0.536970541;30;32.72998381;8.513158284;#a36b2b
Pro.muelleri;3.735602271;0.150474235;41;10.79349413;4.968109072;#a36b2b
Pro.muelleri;10.58946068;0.556533333;31;33.71712371;9.139310811;#a36b2b
Pro.muelleri;15.45130544;0.645511995;22;50.13006196;11.22677378;#a36b2b
Pro.muelleri;15.16448501;0.620188982;47;48.77156586;11.01503614;#a36b2b
Pro.muelleri;15.90674223;0.669664294;47;47.29332039;10.9098184;#a36b2b
Pro.muelleri;7.840578883;0.553834101;48;25.9299807;7.885539773;#a36b2b
Pro.muelleri;17.93633298;0.592843411;16;47.90648628;11.84632895;#a36b2b
Pro.muelleri;11.51541807;0.551345782;48;34.56404194;9.248826113;#a36b2b
Pro.muelleri;26.27113387;0.720475619;45;57.31558007;16.09340424;#a36b2b
Pro.muelleri;4.783689114;0.333167056;48;15.4744833;6.054144913;#a36b2b
Pro.muelleri;14.47270914;0.666479448;36;49.42077205;10.62708451;#a36b2b
Pro.muelleri;11.69698551;0.577432245;45;36.05961814;9.592354015;#a36b2b
Pro.muelleri;10.18417801;0.524751975;27;30.77505219;8.485394964;#a36b2b
Pro.muelleri;17.60793053;0.624760785;16;49.92500256;12.43674651;#a36b2b
Pro.muelleri;11.99054349;0.595086049;16;36.88669083;9.061878685;#a36b2b
Pro.muelleri;16.82040778;0.510203663;48;44.25346089;11.22519363;#a36b2b
Pro.muelleri;9.585536711;0.529471814;43;31.49755915;8.374574063;#a36b2b
Pro.muelleri;15.91068474;0.637338406;18;48.48143578;11.68696368;#a36b2b
Pro.muelleri;12.81872644;0.455002884;35;29.15600027;9.11232076;#a36b2b
Pan.equicostatus;22.530815;0.761663023;40;66.49196913;13.63202555;#bf9e66
Pan.equicostatus;40.39705784;0.818708017;29;80.3880169;23.57476296;#bf9e66
Pan.equicostatus;23.03971308;0.757872259;28;58.59138232;14.80420257;#bf9e66
Pan.equicostatus;31.38377647;0.773591845;12;68.85748181;19.57138095;#bf9e66
Pan.equicostatus;27.2220125;0.784263325;39;71.70923002;15.62565241;#bf9e66
Pan.equicostatus;20.94485351;0.731464821;46;53.96267909;13.81978484;#bf9e66
Pan.equicostatus;27.35448852;0.758972042;49;63.50651483;16.28076861;#bf9e66
Pan.equicostatus;67.44222943;0.827702422;30;78.73240226;25.16881165;#bf9e66
Pan.equicostatus;49.09126072;0.807383782;11;79.51064852;26.41331742;#bf9e66
Pan.equicostatus;34.82937829;0.752139963;11;66.69886664;19.42928066;#bf9e66
Pan.equicostatus;51.35705919;0.801854319;14;79.04016791;23.3177657;#bf9e66
Pan.equicostatus;27.70535444;0.775806093;11;64.8415333;17.38361715;#bf9e66
Pan.equicostatus;23.32389984;0.769900487;48;64.35340423;14.36970143;#bf9e66
Pan.equicostatus;23.39273602;0.790570763;25;70.41235743;13.72436623;#bf9e66
Pan.equicostatus;23.57379127;0.747572818;40;58.05803338;14.92940079;#bf9e66
Pan.equicostatus;40.3819561;0.772584964;26;64.29909688;21.30442014;#bf9e66
Pan.equicostatus;22.15508918;0.76248381;31;64.96128706;13.91558024;#bf9e66
Pan.equicostatus;23.22593308;0.79001645;32;69.93811647;13.93748618;#bf9e66
Pan.equicostatus;18.44191314;0.705548343;32;62.46682961;11.8783699;#bf9e66
Pan.equicostatus;23.35842794;0.770330652;44;67.67490112;13.99372199;#bf9e66
Pan.equicostatus;17.80787996;0.742260657;27;60.19829696;11.89178804;#bf9e66
Pan.equicostatus;17.41192494;0.723054051;29;58.88189047;11.65945177;#bf9e66
Pan.equicostatus;36.05665647;0.758591087;14;69.53743853;22.0271414;#bf9e66
Pan.equicostatus;30.28742684;0.776685842;46;68.4928889;16.71321883;#bf9e66
Pan.equicostatus;38.8552457;0.765392847;23;67.96266872;18.99319561;#bf9e66
Pan.equicostatus;17.22266563;0.729556043;24;55.95669717;11.68492245;#bf9e66
Pan.equicostatus;23.93122993;0.764694582;15;67.35327101;13.66392579;#bf9e66
