Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
Pro.muelleri;33.51314647;0.746822514;18;4.263880143;2.287898848
Pro.muelleri;10.72788148;0.629659305;31;3.060066903;1.598816014
Pro.muelleri;4.859310654;0.189867632;43;2.005868369;1.228984262
Pro.muelleri;12.52059338;0.605367053;16;3.314902605;1.675109238
Pro.muelleri;69.18658531;0.823802316;18;4.593792258;2.650255631
Pro.muelleri;5.907777299;0.399907036;45;2.227248356;1.360512513
Pro.muelleri;11.93244844;0.592159839;49;3.169669667;1.640019673
Pro.muelleri;25.0573374;0.734685202;24;3.998334632;1.931891864
Pan.equicostatus;17.82081597;0.717130812;28;3.781079399;1.893385148
Pan.equicostatus;31.75835875;0.742581466;22;4.223002522;2.357804747
Pan.equicostatus;24.65064659;0.774646381;35;4.289546356;2.003782671
Pan.equicostatus;52.56389222;0.801584865;48;4.559083201;2.393853487
Pan.equicostatus;21.0255794;0.754724115;33;4.160029535;1.930786004
Pan.equicostatus;24.98780409;0.75851381;39;4.067673067;2.115910524
Pan.equicostatus;35.98646511;0.782613858;24;4.363332274;2.231761934
Pan.equicostatus;21.73422256;0.741117122;42;4.248823031;1.951072985
Pan.equicostatus;25.38151904;0.789594338;30;4.478753652;2.027700779
Pan.equicostatus;20.46776588;0.752112552;19;4.091928515;1.929950414
Pan.equicostatus;21.58329213;0.743174725;50;3.886756458;2.026619391
Pan.equicostatus;20.73935198;0.742313655;24;4.145984834;1.87537573
Pan.equicostatus;18.08524596;0.736871787;46;4.092492356;1.829427137
Pan.equicostatus;20.09651372;0.751989114;44;4.117144417;1.866783633
Pan.equicostatus;21.06589649;0.754464562;41;4.081383425;1.952791152
Pan.equicostatus;26.41546369;0.773867386;50;4.245168289;2.053669291
Pan.equicostatus;22.76803523;0.748913487;33;3.935798103;1.990585312
Pan.equicostatus;68.39432921;0.798297881;12;4.506506085;2.513265004
Pan.equicostatus;56.07582376;0.80094084;17;4.486724938;2.375061737
Pan.equicostatus;23.73895195;0.724758116;43;4.191724317;1.966487459
Pan.equicostatus;28.78835555;0.777177888;43;4.309721;2.164618016
Pan.equicostatus;23.23042493;0.78445132;27;4.406998354;1.997351576
Pan.equicostatus;18.34307314;0.725669405;41;3.809089534;1.898310404
Pan.equicostatus;26.63968946;0.707105189;29;4.139708636;1.952379172
Pan.equicostatus;19.37909211;0.739163508;30;4.17817017;1.849181353
Pan.equicostatus;65.58582746;0.796202824;28;4.713231863;2.722715101
Pan.equicostatus;17.48292173;0.726853225;26;4.071545133;1.818593948
Pan.equicostatus;17.47546576;0.72504176;47;3.79252532;1.862964409
Pan.equicostatus;24.62712958;0.748569218;40;3.949223843;2.03142111
Pan.equicostatus;24.98491763;0.758161269;48;4.057986088;2.119090638
Pan.equicostatus;38.6689708;0.788419254;32;4.391576229;2.436408609
Pan.equicostatus;27.41515191;0.780216138;26;4.45816988;2.06254102
Pan.equicostatus;23.77687774;0.767507612;29;4.356877567;1.995060156
Pan.equicostatus;46.42835578;0.793589453;42;4.485695503;2.403120719
Pan.equicostatus;30.71612509;0.770849357;41;4.124268957;2.275555276
Pan.equicostatus;31.40093884;0.790146793;25;4.508919428;2.30558428
Pan.equicostatus;35.50785693;0.810170902;22;4.673034684;2.445963918
Pan.equicostatus;28.1541153;0.783756912;46;4.376180744;2.122775289
Pan.equicostatus;29.80922807;0.782726699;46;4.589618049;2.224443356
Pan.equicostatus;66.54975487;0.83101086;21;4.794267272;2.769833614
Pan.equicostatus;30.10449121;0.793173643;16;4.396993653;2.094044972
Pan.equicostatus;29.17426457;0.778396368;38;4.338518576;2.128401579
Pan.equicostatus;19.47849948;0.741791733;34;3.984698635;1.912556257
Pan.equicostatus;45.72193895;0.787435243;23;4.465054448;2.377540842
Pan.equicostatus;25.17314361;0.762388765;48;4.21140794;2.019564034
Pan.equicostatus;23.3256806;0.752122269;48;4.04482387;2.050442356
Pan.equicostatus;15.71125368;0.714368739;47;3.709402097;1.78931686
Pan.equicostatus;40.22299944;0.803866003;13;4.536235142;2.045342324
Pan.equicostatus;30.25368179;0.801265641;21;4.536996723;1.998402364
Pan.equicostatus;31.75241657;0.801152461;17;4.554800559;2.030451719
Pan.equicostatus;23.47148366;0.766882274;48;4.239949397;2.013203552
Pan.equicostatus;20.37388494;0.754015526;26;4.132476878;1.934859709
Pan.equicostatus;24.99393712;0.778414149;11;4.339715452;2.02398829
Pan.equicostatus;23.77855273;0.757251509;47;4.202397796;2.004027914
Pan.equicostatus;19.97620833;0.741319701;42;4.107942168;1.871606817
Pan.equicostatus;25.25234686;0.766546501;38;4.312365553;1.997484391
Pan.equicostatus;28.25877459;0.780204275;44;4.313841929;2.153298216
Pan.equicostatus;22.43073396;0.760347671;31;4.121755808;1.993927632
Pan.equicostatus;53.86857361;0.801351918;49;4.60389964;2.428495085
Pan.equicostatus;41.19940318;0.775446819;50;4.354807918;2.315393749
Pan.equicostatus;26.10512393;0.757410244;36;4.021313998;2.166970094
Pan.equicostatus;70.12770934;0.829711608;33;4.616553752;2.617732604
Pan.equicostatus;31.5555052;0.781678276;47;4.378458332;2.115840317
Pan.equicostatus;67.32079153;0.808453387;41;4.637370097;2.659752774
