Author,Peak,FWHM
Rantitsch et al. 2020,961.3868493,8.274116219
Rantitsch et al. 2020,961.6540104,7.869763015
Rantitsch et al. 2020,961.8830057,8.285669168
Rantitsch et al. 2020,962.1065487,7.673362888
Rantitsch et al. 2020,961.1524018,7.234350838
Rantitsch et al. 2020,960.465416,7.03795071
Rantitsch et al. 2020,961.217829,6.991738916
Rantitsch et al. 2020,961.5776787,7.061056608
Rantitsch et al. 2020,961.6758195,7.349880325
Rantitsch et al. 2020,961.8012217,7.453856863
Rantitsch et al. 2020,961.7848649,7.234350838
Rantitsch et al. 2020,961.6758195,7.095715454
Rantitsch et al. 2020,961.7412467,6.922421223
Rantitsch et al. 2020,961.6485582,6.772232891
Rantitsch et al. 2020,961.9865988,7.21124494
Rantitsch et al. 2020,961.9429806,6.968633018
Rantitsch et al. 2020,961.9157193,6.760679942
Rantitsch et al. 2020,961.7357944,6.275456097
Rantitsch et al. 2020,962.1065487,6.494962122
Rantitsch et al. 2020,962.2319508,6.067503021
Rantitsch et al. 2020,962.3355439,6.298561995
Rantitsch et al. 2020,962.4936597,6.541173917
Rantitsch et al. 2020,962.3955188,6.679809301
Rantitsch et al. 2020,962.5263733,5.882655842
Rantitsch et al. 2020,962.6190618,6.090608918
Rantitsch et al. 2020,962.7335594,6.876209429
Zhang et al. 2017,963.02,8.32
Zhang et al. 2017,962.77,8
Zhang et al. 2017,962.77,7.94
Zhang et al. 2017,962.59,8.02
Zhang et al. 2017,962.75,7.87
Zhang et al. 2017,963.51,7.11
Zhang et al. 2017,962.95,8.48
Zhang et al. 2017,962.49,8.67
Zhang et al. 2017,962.41,8.12
Zhang et al. 2017,963.07,6.57
Zhang et al. 2017,963.09,7.13
Zhang et al. 2017,963.09,8
Zhang et al. 2017,963.13,8.16
Zhang et al. 2017,962.94,7.86
Zhang et al. 2017,962.93,8.51
Zhang et al. 2017,962.67,8.07
Zhang et al. 2017,962.32,8.94
Zhang et al. 2017,962.89,8.75
Zhang et al. 2017,962.99,8.47
Zhang et al. 2017,962.75,6.88
Zhang et al. 2017,963.02,8.04
McMillan & Golding 2019,956.0350179,19.54840982
McMillan & Golding 2019,956.6524318,18.89714171
McMillan & Golding 2019,958.9651142,15.73535628
McMillan & Golding 2019,961.6166214,13.19177738
McMillan & Golding 2019,961.6130548,14.0273752
McMillan & Golding 2019,962.5294447,12.66364734
McMillan & Golding 2019,961.6230941,11.67532206
McMillan & Golding 2019,963.0978953,12.81712963
McMillan & Golding 2019,962.8006366,13.12726449
McMillan & Golding 2019,963.3922479,13.18785225
McMillan & Golding 2019,963.6633077,13.68241747
McMillan & Golding 2019,963.6897708,12.81582126
McMillan & Golding 2019,963.9916528,11.42250403
McMillan & Golding 2019,961.931757,14.02667069
McMillan & Golding 2019,962.7941639,14.64371981
McMillan & Golding 2019,963.389606,13.80681361
McMillan & Golding 2019,964.2774192,13.80485105
McMillan & Golding 2019,965.1461667,12.93639291
McMillan & Golding 2019,963.0897054,14.73590982
McMillan & Golding 2019,961.2973908,13.31627415
McMillan & Golding 2019,957.5264631,16.79076087
McMillan & Golding 2019,964.8494364,13.12273551
McMillan & Golding 2019,962.4986224,14.55152979
McMillan & Golding 2019,962.4959805,15.17049114
McMillan & Golding 2019,966.310852,12.0672806
McMillan & Golding 2019,965.444218,12.44056965
McMillan & Golding 2019,964.5778482,12.75196256
McMillan & Golding 2019,964.8475871,13.55600845
McMillan & Golding 2019,964.5744137,13.55661232
McMillan & Golding 2019,964.5737533,13.71135266
McMillan & Golding 2019,965.1668176,13.43151167
McMillan & Golding 2019,965.4267374,11.20269726
McMillan & Golding 2019,964.5826037,11.63783213
McMillan & Golding 2019,964.5770557,12.93765097
McMillan & Golding 2019,962.5339359,11.61141304
McMillan & Golding 2019,962.2162905,11.36453301
McMillan & Golding 2019,960.7265625,13.71985709
McMillan & Golding 2019,965.4430291,12.71910225
McMillan & Golding 2019,966.3142864,11.26263084
McMillan & Golding 2019,966.3116445,11.88159219
McMillan & Golding 2019,966.906294,11.2303744
Shirley et al. 2023,964.069,4.83291
Shirley et al. 2023,963.952,5.01079
Shirley et al. 2023,963.911,5.33654
Shirley et al. 2023,963.915,5.67241
Shirley et al. 2023,963.751,5.15537
Shirley et al. 2023,964.049,4.90608
Shirley et al. 2023,963.912,4.91392
Shirley et al. 2023,963.948,5.16958
Shirley et al. 2023,963.926,5.12392
Shirley et al. 2023,964.004,4.96203
Shirley et al. 2023,964.081,5.11763
Shirley et al. 2023,963.906,4.96041
Shirley et al. 2023,963.997,4.92899
Shirley et al. 2023,964.079,4.78346
Shirley et al. 2023,964.139,4.62415
Shirley et al. 2023,964.106,4.6555
Shirley et al. 2023,964.178,4.73782
Shirley et al. 2023,964.147,4.47944
Shirley et al. 2023,964.167,4.57111
Shirley et al. 2023,964.246,4.47621
Shirley et al. 2023,963.974,5.43906
Shirley et al. 2023,964.038,4.72146
Shirley et al. 2023,963.957,4.84001
Shirley et al. 2023,964.263,4.41648
Shirley et al. 2023,963.911,5.59996
Shirley et al. 2023,963.672,4.95253
Shirley et al. 2023,963.856,4.36247
Shirley et al. 2023,964.044,4.31706
Shirley et al. 2023,963.862,4.55725
Shirley et al. 2023,963.962,4.28101
