10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
;36.69007887;46.71406221;39.56768115;41.35891338;46.3032079;41.22622115;40.933815;21.25957027;41.71678572;16.97247694;16.62611582;19.87584769;47.49834294;45.14990384;43.56655123;46.85529249;;
;15.45755213;47.16137788;49.65969048;47.62508521;43.07971911;29.79364154;41.53879032;45.36784673;41.41389179;22.7628498;26.02222187;48.78857756;22.23659828;35.97528104;20.05376125;26.3386079;;
;38.7759755;46.08849246;38.48936787;56.20619354;28.59027556;49.65979423;47.04913119;55.92619861;44.52010743;63.39505503;20.19556932;26.30236144;40.90969363;45.32992069;34.92195956;39.56439788;;
;23.59204633;41.38549108;45.57247363;37.38288968;41.75169738;47.84315596;43.1518682;25.71900283;48.14031552;23.1742176;25.64870593;22.63648582;46.39740066;20.76825266;41.327642;21.39800565;;
;44.78359005;41.48328155;25.23101091;20.90651609;45.03311339;36.02139041;47.06494394;27.32883433;35.46326844;15.80816069;48.08828299;40.12074207;39.80260627;40.66994579;41.95203219;40.8084234;;
;23.97472886;48.05642451;48.35633726;48.92610132;43.79670484;24.68943278;49.9554821;27.40096911;18.60231572;38.66690092;19.26376823;24.634114;26.57480595;13.24129965;49.18552739;20.80343409;;
;22.05863578;26.55582794;40.40155339;29.32650179;41.59001957;20.48324287;45.25662508;39.45799505;23.70818075;31.82641621;40.17785113;29.44222117;48.19648376;24.74833082;42.39903521;18.54098058;;
;25.6328381;30.68590166;40.00092514;10.94874225;9.295231556;28.35072296;25.43065229;31.78655428;31.02412109;11.44126266;34.17143293;47.89384911;24.00615166;41.74045708;39.26975926;46.80902873;;
;8.44509591;30.37722785;29.95432108;33.85664488;23.79336366;27.34126234;24.69209135;21.8856694;25.06890262;24.64132775;43.12616641;29.17956749;38.80684592;19.75065407;17.47161882;40.10035282;;
;44.95585405;45.96328292;46.98594786;48.27833795;24.08673637;35.49793648;48.69498875;45.1813666;50.53471934;41.82983167;20.80124798;36.2058586;39.00948715;40.69991808;37.77217743;40.07292327;;
